0.988111,0.246556,0,0.004678,0.080864,0.987444,0.053111,0,0,0.045451,0.998333,0.135222,0,0.00794,0.073735
0.983889,0.035222,0,0.002892,0.034087,0.983889,0.056667,0,0.00126,0.04555,0.995111,0.031667,0,0.00071,0.030918
0.979333,0.017111,0,0.026485,0.001832,0.975333,0.026667,0,0.0249,0.003851,0.989889,0.002556,6.593448,0.0252,0.00214
0.988444,0,8.462264,0.018832,0.009904,0.987667,0.000556,46.520388,0.03829,0.002383,0.989222,0.001111,19.467767,0.037501,0.001811
0.995111,0.023556,92.457934,0.055396,0.003119,0.993778,0.008556,61.356259,0.07212,0.000079,0.996778,0.091444,9.271548,0.0837,0.010353
0.989444,0.008222,37.168161,0.048168,0.000499,0.989889,0.000222,55.950588,0.078909,0.000881,0.995444,0.013889,77.761674,0.064665,0.000817
0.984778,0.014333,0,0.020449,0.015415,0.982778,0.000444,13.994995,0.011331,0.012944,0.991111,0.014667,0,0.0222,0.005654
0.992333,0,81.769785,0.079278,0.000141,0.991333,0.000556,49.559506,0.119269,0.000661,0.995333,0.013778,37.423109,0.114775,0.000236
0.988333,0.000556,11.017841,0.033306,0.001063,0.986444,0.000111,46.721881,0.048536,0.00095,0.989889,0.013667,8.873433,0.076494,0.001289
0.991333,0.105111,0,0.004227,0.043911,0.985556,0.058667,3.762185,0.018874,0.016482,0.995111,0.031667,0,0.0165,0.014504
0.989111,0.009111,0,0.016579,0.009,0.980333,0.019667,0,0.0254,0.003478,0.992111,0.016333,0,0.029,0.002463
0.980444,0.000222,0,0.030399,0.002058,0.981333,0.000222,30.890748,0.033507,0.001352,0.988333,0.001,0,0.0603,0.001111
0.995,0.035444,30.267304,0.086345,0.016879,0.993444,0.007333,61.356259,0.07162,0.000053,0.996667,0.034,91.632385,0.078549,0.035343
0.987667,0.009222,12.01996,0.031967,0.001025,0.989667,0.000444,43.860487,0.049724,0.00088,0.991556,0.023222,9.985251,0.052095,0.002404
0.991111,0.035778,9.796828,0.042418,0.001407,0.990222,0.067222,0,0.00074,0.050919,0.997111,0.056222,0,0.0693,0.008847
0.985556,0,0,0.037009,0.001619,0.983667,0.000111,3.503513,0.077374,0.001464,0.989889,0.000667,0,0.04,0.000998
