REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.975,0.355556,126.664766,0.076501,0.152314
0.965,0.133333,157.867385,0.080985,0.454387
0.96,0.244444,0.0,0.02964,0.450245
0.95,0.066667,117.535499,0.088171,0.036987
0.975,0.288889,195.646387,0.249438,0.425639
0.96,0.355556,0.0,0.017581,0.504177
0.975,0.377778,145.090608,0.087171,0.199545
0.97,0.111111,287.799267,0.274731,0.338345
0.97,0.111111,266.944725,0.254738,0.464657
0.97,0.222222,208.777335,0.291021,0.555957
0.97,0.111111,269.993361,0.292315,0.486086
0.97,0.2,177.389351,0.297613,0.55992
0.96,0.622222,0.0,0.007307,0.472577
0.905,0.0,0.0,0.055446,0.077625
0.94,0.0,179.861621,0.059231,0.296929
0.965,0.155556,168.710131,0.080471,0.088414
0.955,0.088889,191.276306,0.164397,0.059477
0.955,0.066667,150.116832,0.088052,0.362434
0.97,0.244444,305.116787,0.165867,0.101242
0.97,0.288889,168.398718,0.086874,0.240946
0.96,0.088889,182.693925,0.088718,0.143084
0.97,0.4,69.666983,0.071412,0.254834
0.97,0.577778,123.312006,0.067876,0.22336
0.95,0.0,208.044602,0.108978,0.010207
0.94,0.133333,0.0,0.046833,0.104722
0.96,0.066667,194.48499,0.162641,0.055271
0.96,0.622222,0.0,0.064554,0.460021
0.975,0.377778,182.984608,0.080318,0.237797
0.975,0.6,100.365256,0.062254,0.534919
0.955,0.2,67.148508,0.1,0.123906
0.975,0.377778,67.15073,0.116356,0.175597
0.975,0.533333,71.61196,0.130246,0.171561
0.955,0.044444,168.347992,0.078092,0.08266
0.9,0.044444,0.0,0.019994,0.372459
0.96,0.266667,0.0,0.022985,0.460914
0.945,0.022222,208.335701,0.063926,0.305928
0.945,0.044444,0.0,0.081009,0.093716
0.97,0.222222,285.290524,0.170814,0.100753
0.965,0.111111,230.628562,0.083919,0.119755
0.96,0.244444,0.0,0.083601,0.132519
0.935,0.066667,0.0,0.061585,0.12032
0.945,0.022222,155.038861,0.087175,0.036952
0.965,0.133333,157.638558,0.091375,0.206822
0.97,0.288889,67.148508,0.204632,0.187834
0.915,0.111111,0.0,0.009105,0.524138
0.97,0.377778,112.513075,0.104543,0.174203
0.965,0.133333,195.06297,0.093315,0.091784
0.93,0.0,0.0,0.060536,0.129941
0.955,0.088889,210.067639,0.068108,0.339511
0.96,0.266667,0.0,0.053115,0.144121
0.935,0.0,243.234079,0.117699,0.034963
0.97,0.288889,193.078439,0.096108,0.200799
0.97,0.311111,199.348519,0.137897,0.136907
0.96,0.244444,0.0,0.084232,0.144321
0.955,0.066667,227.498407,0.089328,0.512159
0.96,0.088889,169.239181,0.084852,0.081045
0.96,0.155556,163.78573,0.071843,0.4538
0.93,0.133333,0.0,0.019397,0.335433
0.96,0.111111,226.682219,0.08328,0.166319
0.97,0.622222,71.61196,0.038528,0.465489
0.96,0.044444,227.474468,0.124925,0.036979
0.955,0.066667,184.619884,0.115266,0.070048
0.965,0.133333,240.836257,0.083272,0.11897
0.95,0.0,196.811831,0.06856,0.252457
0.95,0.0,223.73147,0.10543,0.008195
0.965,0.288889,90.127888,0.078805,0.144805
0.98,0.6,190.058678,0.098425,0.449519
0.97,0.422222,122.965282,0.052303,0.456766
0.935,0.111111,0.0,0.028627,0.119232
0.98,0.6,145.090608,0.120595,0.269167
0.95,0.022222,182.693925,0.078853,0.24938
0.97,0.333333,65.596739,0.091091,0.471517
0.975,0.622222,89.580657,0.113024,0.173242
0.97,0.177778,174.044301,0.246208,0.377858
0.975,0.4,126.664766,0.081245,0.255076
0.96,0.088889,225.728677,0.100259,0.070044
0.96,0.088889,169.239181,0.088398,0.099038
0.95,0.111111,146.21977,0.085502,0.067383
0.9,0.066667,0.0,0.019888,0.435407
0.955,0.066667,157.867385,0.085547,0.331133
0.965,0.133333,182.984608,0.080067,0.483456
0.97,0.4,69.252306,0.088103,0.220001
0.97,0.377778,176.160975,0.11521,0.11482
0.94,0.088889,0.0,0.065842,0.092129
0.975,0.355556,95.718638,0.079166,0.48032
0.95,0.066667,90.127888,0.122548,0.105275
0.96,0.222222,41.926268,0.052516,0.161194
0.97,0.422222,196.247283,0.103694,0.129933
0.975,0.377778,67.15073,0.100976,0.175597
0.95,0.022222,182.693925,0.06806,0.499501
0.965,0.288889,132.791836,0.105833,0.129182
0.96,0.066667,243.01168,0.114253,0.070386
0.96,0.044444,218.203559,0.105417,0.132425
0.96,0.333333,0.0,0.061022,0.306296
0.95,0.288889,0.0,0.0031,0.455515
0.97,0.444444,117.535499,0.096125,0.231655
0.955,0.066667,84.028082,0.09867,0.119843
0.94,0.088889,0.0,0.121234,0.078046
0.96,0.111111,240.836257,0.080253,0.138761
0.97,0.466667,71.61196,0.103039,0.147808
0.95,0.0,194.48499,0.081324,0.152937
0.975,0.377778,71.61196,0.130104,0.161919
0.97,0.377778,244.428237,0.120427,0.140928
0.96,0.222222,43.377064,0.08261,0.154372
0.96,0.111111,236.889913,0.083547,0.128928
0.97,0.422222,116.200518,0.049784,0.435664
0.935,0.066667,0.0,0.067753,0.109719
0.955,0.2,105.253715,0.065257,0.163432
0.9,0.0,0.0,0.019998,0.383451
0.96,0.044444,219.291294,0.105628,0.126024
0.95,0.0,184.951519,0.08417,0.169825
0.97,0.4,141.016822,0.07711,0.254834
0.95,0.0,240.836257,0.124921,0.007618
0.95,0.0,196.137022,0.071214,0.258016
0.965,0.244444,0.0,0.103734,0.121131
