1.000000000000000021e-03,2.106874300000000089e-01,3.632039100000000048e-02,4.080494089999999741e-01,1.000000000000000000e+00,8.773002509999999754e-01,3.128890730000000175e-01,5.215676600000000024e-02,2.023445999999999925e-03,0.000000000000000000e+00,7.936790000000000858e-03,1.000000000000000000e+00,3.054034699999999894e-02,6.300599799999999640e-01,2.857751999999999862e-03,1.845766199999999968e-02,7.529999999999999801e-04,2.634071130000000260e-01,9.429115780000000280e-01,9.605888059999999617e-01,2.350520070000000072e-01,9.643177849999999829e-01,4.552121590000000051e-01,8.451310819999999779e-01,7.619560000000000222e-02,1.271918799999999933e-02,9.641085400000000138e-01,6.759022400000000430e-02,9.759332189999999629e-01,2.109730529999999937e-01
1.869187009999999927e-01,2.039886840000000034e-01,2.088036759999999936e-01,6.363946280000000177e-01,9.321345770000000197e-01,8.926405170000000222e-01,3.330000000000000182e-01,5.000000000000000278e-02,0.000000000000000000e+00,1.264116999999999932e-03,7.100000000000000191e-04,9.344937399999999617e-01,1.674939259999999874e-01,3.018353699999999987e-02,1.993581100000000120e-02,6.780000000000000002e-04,3.065708999999999795e-03,9.931771080000000307e-01,8.048123790000000222e-01,9.999925570000000041e-01,4.316409999999999692e-02,4.513483599999999762e-02,5.758581499999999853e-02,4.423225669999999998e-01,1.081442100000000045e-01,1.601739630000000025e-01,6.472376140000000166e-01,7.541952000000000378e-02,8.605181659999999733e-01,9.438770199999999555e-01
5.851205900000000515e-01,4.905758279999999916e-01,9.369953530000000308e-01,9.263674560000000335e-01,9.231937949999999837e-01,7.321385310000000368e-01,2.073101370000000054e-01,1.631381460000000116e-01,2.389439100000000094e-02,2.488581800000000052e-02,2.522660800000000106e-02,4.508992829999999841e-01,3.918919690000000067e-01,8.124869369999999646e-01,9.116211000000000800e-03,1.431795500000000027e-02,1.125933200000000037e-02,6.394679519999999506e-01,4.113709709999999742e-01,2.087583229999999956e-01,1.363062070000000126e-01,7.694354469999999946e-01,9.520508380000000104e-01,8.311087000000000335e-01,1.761172920000000086e-01,5.313712689999999794e-01,8.079953400000000618e-02,3.055480939999999923e-01,6.775528729999999999e-01,5.649350810000000056e-01
9.711458099999999982e-01,9.467208569999999712e-01,9.765515529999999611e-01,8.977344910000000233e-01,3.124712459999999803e-01,8.987149669999999757e-01,8.916987299999999672e-02,6.172819999999999696e-02,1.569999999999999876e-05,6.490733999999999740e-03,3.146766499999999883e-02,7.256852179999999652e-01,1.330057179999999950e-01,1.431312530000000138e-01,9.547461000000000142e-03,1.657128899999999946e-02,1.331872000000000004e-03,6.369343099999999480e-02,4.509590900000000346e-02,1.531337540000000108e-01,7.874823599999999924e-02,6.065084440000000354e-01,9.339326690000000486e-01,4.417442799999999892e-01,2.556438380000000121e-01,7.089651940000000208e-01,3.190441000000000110e-02,2.466882210000000131e-01,5.791911969999999910e-01,3.257989760000000179e-01
1.169248150000000014e-01,2.516876739999999724e-01,5.517017300000000291e-02,9.423488239999999738e-01,8.274911230000000506e-01,8.972137060000000552e-01,5.526220700000000069e-02,7.166396599999999562e-02,1.070966500000000016e-02,2.399845299999999945e-02,8.370218599999999787e-02,9.897539640000000416e-01,2.917177080000000200e-01,7.534417469999999950e-01,3.209067999999999816e-03,1.325545600000000053e-02,1.143438199999999988e-02,1.519756799999999984e-02,9.026588000000000320e-03,6.284033399999999769e-02,3.599110059999999778e-01,9.889589260000000159e-01,6.888382750000000554e-01,8.358402230000000488e-01,3.332940300000000050e-02,7.540599200000000502e-02,2.405982479999999868e-01,9.940212389999999454e-01,9.413095609999999613e-01,1.935501930000000093e-01
5.573951489999999787e-01,9.076462140000000067e-01,2.199870849999999989e-01,6.938615799999999778e-01,8.846130100000000329e-01,8.569785239999999638e-01,1.000781709999999936e-01,5.648091200000000117e-02,2.976653900000000158e-02,3.814765999999999990e-02,3.043692599999999956e-02,6.840808059999999857e-01,9.126526419999999584e-01,1.375169119999999912e-01,2.611254999999999826e-03,7.120338999999999835e-03,1.223780999999999957e-03,3.439376400000000028e-02,3.046032400000000043e-02,8.018344999999999639e-03,2.438303900000000080e-01,6.531717639999999880e-01,4.303542719999999822e-01,3.211181329999999723e-01,1.872772500000000062e-02,7.133757229999999616e-01,4.184515509999999772e-01,6.693132760000000125e-01,4.452924950000000104e-01,8.908054939999999755e-01
4.409942820000000152e-01,9.770123520000000283e-01,4.379599120000000068e-01,2.841520220000000041e-01,9.995115519999999698e-01,8.976655749999999934e-01,5.762860300000000047e-02,1.888854030000000073e-01,1.708754000000000045e-03,5.117886000000000310e-03,2.217694099999999863e-02,7.384890400000000410e-01,2.619093410000000177e-01,2.808697700000000186e-01,1.117680100000000010e-02,1.091512999999999902e-03,1.945913100000000104e-02,6.858834710000000223e-01,1.980519799999999886e-01,8.142273190000000049e-01,8.865898930000000178e-01,8.872657010000000177e-01,5.228000990000000181e-01,7.379345379999999732e-01,4.138982599999999762e-02,5.323101409999999589e-01,7.226745119999999911e-01,2.953317690000000217e-01,5.974855860000000130e-01,5.141942320000000288e-01
9.628612859999999829e-01,9.173088769999999670e-01,2.203390819999999917e-01,2.705125990000000202e-01,9.877967349999999813e-01,8.584880710000000192e-01,5.211196099999999831e-02,5.328939700000000224e-02,3.169331200000000126e-02,8.568001100000000037e-02,9.835941800000000401e-02,4.369987850000000007e-01,4.090186339999999920e-01,2.908766620000000080e-01,8.409999999999999507e-04,2.763016000000000083e-03,1.056999399999999922e-02,9.982523999999999564e-03,4.733899300000000282e-02,1.125761999999999987e-03,2.587360099999999954e-02,6.867235870000000242e-01,1.383884959999999997e-01,8.930419469999999471e-01,7.927657100000000401e-02,6.227101999999999915e-01,3.960000000000000202e-06,7.314371410000000129e-01,7.743919989999999975e-01,4.963057810000000014e-01
9.277641319999999636e-01,9.725398560000000359e-01,4.600163809999999742e-01,6.770538419999999613e-01,3.551578309999999794e-01,8.612973590000000401e-01,8.600712800000000213e-02,5.641943600000000336e-02,1.465610399999999966e-02,1.872474899999999887e-02,7.593955900000000370e-02,1.049350490000000025e-01,2.894595469999999837e-01,3.421894059999999738e-01,8.242315000000000058e-03,9.605973999999999763e-03,1.204358200000000059e-02,6.979775500000000299e-02,7.011462499999999987e-02,2.099204309999999907e-01,6.114310099999999831e-02,7.142230280000000375e-01,3.670642579999999766e-01,4.031206629999999902e-01,3.393050000000000233e-02,3.540307380000000115e-01,3.649591649999999743e-01,9.149740189999999718e-01,9.783385150000000197e-01,5.443487909999999985e-01
4.872572099999999962e-02,1.993224570000000084e-01,2.090679199999999904e-01,4.123582769999999953e-01,9.845016960000000372e-01,8.722044970000000230e-01,5.074380900000000083e-02,1.672385969999999888e-01,7.430000000000000013e-06,1.762772300000000139e-02,1.651596500000000051e-02,2.020851170000000085e-01,3.510574320000000026e-01,5.537102449999999898e-01,1.940550999999999995e-03,1.051918200000000019e-02,1.720815499999999929e-02,7.923778099999999602e-01,2.857851800000000275e-01,4.936220299999999894e-01,3.653339279999999745e-01,4.163938440000000130e-01,9.367999160000000103e-01,1.600897399999999873e-02,5.143997829999999993e-01,7.107708769999999676e-01,2.982298700000000080e-01,6.421648250000000502e-01,7.108911730000000428e-01,9.534746490000000074e-01
