REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.995,0.126556,43.286245,0.040148,0.047497
0.992556,0.030111,49.566307,0.033736,0.029043
0.993556,0.218556,23.468229,0.0308,0.085151
0.987,0.016667,25.71713,0.096304,0.001474
0.994778,0.115111,65.181635,0.076636,0.016484
0.995667,0.180222,49.676018,0.0687,0.059468
0.993667,0.118,65.181635,0.076529,0.018298
0.990778,0.035444,41.048953,0.035991,0.029738
0.989556,0.076222,3.503513,0.010851,0.049131
0.987889,0.017,49.559506,0.074641,0.001665
0.994,0.082444,65.041799,0.119632,0.076944
0.990889,0.116556,3.503513,0.004133,0.064785
0.995222,0.121444,44.359935,0.0872,0.020624
0.993889,0.032,89.128614,0.144528,0.048365
0.994,0.029889,86.475054,0.118023,0.092589
0.994111,0.055889,61.356259,0.169044,0.134889
0.992889,0.029333,80.760411,0.165888,0.148052
0.991889,0.054111,65.041799,0.195347,0.181695
0.990111,0.239889,0.0,0.00731,0.10062
0.973889,0.001667,0.0,0.0541,0.002227
0.986333,0.000444,44.024396,0.021818,0.012758
0.990222,0.041556,61.216423,0.054199,0.004869
0.988778,0.023778,46.721881,0.112761,0.001353
0.989111,0.020889,52.604927,0.039731,0.009057
0.992778,0.068556,101.316064,0.118255,0.007896
0.995,0.084556,46.520388,0.050903,0.024665
0.989222,0.023111,65.181635,0.064709,0.004241
0.992556,0.145,20.768458,0.0714,0.035536
0.994556,0.210333,46.362072,0.0679,0.05618
0.990444,0.001333,65.181635,0.061409,0.000905
0.981667,0.038111,4.1205,0.045389,0.0041
0.989667,0.021889,65.181635,0.11633,0.001855
0.994111,0.231889,0.0,0.0646,0.054427
0.995778,0.120111,48.748299,0.061829,0.034886
0.996889,0.246,39.831388,0.0623,0.075063
0.989778,0.058111,19.59884,0.1,0.007188
0.992889,0.127556,16.787754,0.1,0.018945
0.994222,0.245667,20.006266,0.102325,0.017925
0.987667,0.014333,55.991289,0.050021,0.00205
0.973667,0.013889,0.0,0.02,0.018232
0.989222,0.078889,5.135286,0.0225,0.033219
0.987333,0.006111,51.43693,0.024008,0.015268
0.984667,0.012333,0.0,0.078,0.001872
0.992556,0.061111,99.763224,0.122026,0.006891
0.992556,0.028889,65.181635,0.050442,0.006086
0.989444,0.064444,7.657817,0.0654,0.010741
0.983111,0.020778,5.135286,0.0596,0.0043
0.988667,0.003556,66.624247,0.05377,0.000823
0.992778,0.036556,55.991289,0.04371,0.021044
0.992778,0.084444,15.740826,0.100195,0.017101
0.970556,0.036,4.434625,0.00296,0.047009
0.994111,0.120778,41.044034,0.0982,0.016897
0.992889,0.037111,61.356259,0.048461,0.005257
0.981889,0.000778,5.135286,0.054619,0.00547
0.989333,0.024778,58.379535,0.029809,0.027048
0.990111,0.077111,8.209462,0.056763,0.013877
0.989889,0.001778,61.356259,0.068565,0.00101
0.994889,0.082111,49.559506,0.044461,0.015656
0.993222,0.090111,46.520388,0.107009,0.012771
0.989444,0.063222,8.209462,0.056763,0.01434
0.992,0.020889,61.216423,0.050312,0.015634
0.991778,0.025556,65.041799,0.057273,0.004035
0.99,0.052556,53.888849,0.025342,0.036835
0.981222,0.040778,0.288118,0.0194,0.022283
0.992556,0.027889,65.181635,0.051469,0.006558
0.993444,0.231333,14.894101,0.0318,0.080296
0.991667,0.016556,72.216849,0.077332,0.0009
0.992111,0.019111,65.181635,0.056664,0.003481
0.992889,0.035778,61.216423,0.049189,0.006488
0.988778,0.001667,46.182506,0.028234,0.011833
0.989889,0.001444,65.041799,0.064293,0.000813
0.989333,0.082111,16.924718,0.081117,0.013531
0.996556,0.238222,49.642999,0.0984,0.087264
0.993333,0.150111,25.515262,0.0445,0.064937
0.980222,0.037222,0.102676,0.0286,0.009953
0.996778,0.231,41.460922,0.1,0.027823
0.990111,0.007222,65.181635,0.052049,0.003288
0.992444,0.110111,18.312291,0.0911,0.045778
0.993667,0.231556,17.125717,0.097034,0.027654
0.992778,0.050333,61.356259,0.123696,0.063453
0.995667,0.140333,61.216423,0.05866,0.031218
0.991889,0.022889,61.356259,0.07042,0.002949
0.99,0.026444,65.041799,0.056793,0.003761
0.989222,0.028667,52.604927,0.078999,0.001953
0.974333,0.020444,2.02389,0.0182,0.024629
0.992,0.022333,65.041799,0.052113,0.008645
0.992667,0.040222,50.322002,0.030237,0.02937
0.992778,0.145,21.773503,0.088159,0.035364
0.993556,0.126,65.041799,0.102359,0.011227
0.982,0.033556,3.503513,0.067074,0.00302
0.994444,0.129,43.363564,0.035369,0.069395
0.986,0.013667,16.924718,0.058835,0.00211
0.989889,0.067333,11.884003,0.0444,0.019536
0.993667,0.140111,65.041799,0.095167,0.013737
0.993889,0.138889,22.887412,0.1,0.019029
0.986667,0.004222,52.564226,0.037794,0.01503
0.993556,0.089667,61.356259,0.0953,0.013207
0.990667,0.019444,61.356259,0.07042,0.00278
0.990222,0.015667,70.108608,0.057232,0.005442
0.989222,0.099556,7.657817,0.03324,0.041182
0.986,0.083556,8.209462,0.007263,0.058844
0.995333,0.180333,49.559506,0.0909,0.0227
0.986556,0.013222,17.125717,0.0571,0.002149
0.982667,0.030556,7.657817,0.093543,0.001917
0.993111,0.030111,61.216423,0.048269,0.006876
0.992667,0.145778,13.994995,0.0911,0.017586
0.989667,0.000222,61.356259,0.048483,0.005264
0.993667,0.136778,19.479467,0.105686,0.01603
0.994444,0.119222,54.818163,0.098237,0.014973
0.990111,0.067333,11.884003,0.048774,0.008912
0.992556,0.027444,61.356259,0.04928,0.006558
0.993,0.141778,21.938754,0.0298,0.07049
0.982667,0.014,5.135286,0.064719,0.002131
0.989889,0.064889,17.972444,0.0411,0.011981
0.973667,0.000778,0.0,0.02,0.021845
0.989333,0.014,77.439721,0.058622,0.002317
0.989778,0.002111,70.684913,0.04646,0.005577
0.993889,0.145,49.030843,0.073,0.02606
0.991444,0.000111,66.624247,0.074484,0.000691
0.988667,0.001667,43.860487,0.02772,0.01208
0.990444,0.061,8.209462,0.0986,0.008654
0.989444,0.014222,49.566307,0.072937,0.001177
0.994222,0.164889,16.259602,0.101703,0.029831
0.990778,0.064556,48.912113,0.091087,0.007075
0.992889,0.127556,20.358059,0.1,0.017098
0.996111,0.174111,88.891009,0.079159,0.030075
0.994111,0.231889,0.0,0.0746,0.054469
0.992556,0.101444,19.169132,0.083466,0.046271
0.996222,0.152556,61.216423,0.088384,0.019331
0.993556,0.135556,21.222888,0.061,0.043574
0.988667,0.010556,65.041799,0.054073,0.002251
0.995889,0.154222,61.356259,0.104813,0.022014
0.992778,0.042444,50.153508,0.052743,0.005977
0.989556,0.025444,52.604927,0.085369,0.002231
0.989556,0.021333,55.947782,0.058011,0.002653
0.993111,0.124889,61.356259,0.095985,0.013071
0.992444,0.022111,65.041799,0.105267,0.001891
0.979778,0.033,0.0,0.0394,0.005036
0.989556,0.015556,64.867729,0.104454,0.000746
0.991889,0.135222,19.644411,0.113343,0.022092
0.994444,0.043333,88.242475,0.111094,0.025217
0.994333,0.064111,61.216423,0.095036,0.018754
0.992889,0.072111,17.358491,0.203576,0.10384
0.995,0.080222,51.503121,0.07682,0.009856
0.988556,0.014333,68.177687,0.077844,0.003113
0.992222,0.090778,17.505505,0.183007,0.15258
0.993,0.123889,28.341783,0.0273,0.044956
0.992667,0.107889,17.397795,0.171761,0.166357
0.993333,0.082222,46.527189,0.076563,0.009466
0.989889,0.001667,65.181635,0.064409,0.000809
0.995,0.083444,49.566307,0.103968,0.009681
0.995111,0.134111,63.233671,0.126886,0.01286
0.996889,0.238333,45.244944,0.107459,0.027114
0.990222,0.234444,4.1205,0.00513,0.074641
0.997111,0.236222,51.62386,0.0337,0.070069
0.978778,0.036,0.0,0.0199,0.02734
0.977778,0.015889,3.478131,0.066211,0.002295
0.993333,0.218556,14.894101,0.048,0.065014
0.973889,0.001667,0.0,0.0783,0.001696
0.996,0.139333,61.356259,0.091832,0.017975
0.973667,0.000778,2.02389,0.046395,0.002275
0.987778,0.039111,4.762685,0.059932,0.003403
0.990333,0.014778,61.356259,0.083133,0.003309
0.979667,0.002444,0.0,0.0687,0.001756
0.997222,0.232889,56.127866,0.095025,0.050321
0.994889,0.118889,47.100843,0.0743,0.03876
0.994444,0.229222,19.228591,0.0676,0.066721
0.994222,0.148444,46.766621,0.1,0.019465
0.976778,0.032889,0.0,0.003966,0.030698
0.991111,0.083222,42.497684,0.095264,0.006601
0.992556,0.135222,26.872166,0.066037,0.040603
0.992889,0.118444,16.872476,0.0977,0.01432
0.994667,0.078889,67.096847,0.049932,0.024838
0.995667,0.218556,49.566307,0.0946,0.029617
0.994444,0.229222,26.715929,0.0676,0.066789
0.99,0.043,17.537328,0.137074,0.030241
0.989778,0.043444,17.809595,0.110305,0.012416
0.989667,0.058111,21.668739,0.0926,0.007456
0.994667,0.137778,52.564226,0.093453,0.029058
0.974222,0.019222,0.0,0.0442,0.002145
0.989889,0.072222,8.07514,0.067,0.014833
0.989444,0.008444,52.564226,0.063323,0.001049
0.985889,0.019556,4.1205,0.036389,0.014322
0.976778,0.001111,1.760172,0.077647,0.002501
0.973667,0.038333,0.0,0.0198,0.042732
0.984889,0.060444,4.434625,0.001291,0.048042
0.994889,0.184667,41.566422,0.102585,0.015556
0.987444,0.007889,63.233671,0.048652,0.002679
0.993778,0.153333,45.976818,0.103604,0.012008
0.995111,0.135,63.233671,0.120142,0.013667
0.994,0.082222,63.233671,0.085125,0.011425
0.996111,0.206556,43.860487,0.055944,0.036564
0.987222,0.007556,67.096847,0.043287,0.007264
0.993,0.135222,26.872166,0.0654,0.045492
0.992556,0.139111,13.994995,0.0379,0.070687
0.989444,0.001667,55.950588,0.055909,0.00606
0.991556,0.057778,46.520388,0.062579,0.022297
0.989333,0.005,61.216423,0.048047,0.007942
0.994556,0.075556,67.096847,0.08923,0.007844
0.994,0.185222,26.812611,0.0282,0.077989
0.995667,0.142333,77.477866,0.087171,0.018286
0.978778,0.021222,4.762685,0.069732,0.002267
0.991,0.044667,46.527189,0.064911,0.01946
0.993889,0.150778,45.002367,0.035423,0.05883
0.993444,0.162667,13.994995,0.098609,0.02215
0.992556,0.135222,16.823285,0.0991,0.021804
0.993889,0.080667,63.233671,0.058515,0.010927
0.996222,0.141667,90.61813,0.0852,0.031371
0.979333,0.033,0.0,0.0283,0.011804
0.990778,0.000778,70.684913,0.069377,0.000675
0.996,0.218333,61.216423,0.072453,0.037753
0.987444,0.022778,22.143798,0.0343,0.02508
0.997111,0.124889,82.782236,0.0923,0.014283
0.989667,0.001889,52.604927,0.064242,0.007959
0.994556,0.072111,61.356259,0.141708,0.085758
0.984,0.007333,33.903236,0.019688,0.012065
0.990556,0.055667,7.32423,0.126288,0.11595
0.994444,0.082111,70.684913,0.139205,0.007164
0.992889,0.103222,66.624247,0.118794,0.008858
0.994333,0.135,43.776678,0.0887,0.021926
0.994778,0.185556,65.181635,0.096484,0.017279
0.993778,0.121222,67.096847,0.094879,0.011887
0.993222,0.110111,44.805516,0.106135,0.016356
0.996889,0.226667,42.09443,0.0405,0.08408
0.993333,0.110111,43.851136,0.1,0.013073
0.996889,0.180889,46.721881,0.05785,0.059262
0.974222,0.015,4.434625,0.007335,0.01984
0.992333,0.167333,8.938883,0.0944,0.015343
0.993556,0.185556,17.455908,0.0897,0.026162
0.988667,0.008778,66.624247,0.05817,0.001836
0.990889,0.033,46.915496,0.116773,0.027903
0.994,0.108778,45.384533,0.0538,0.038834
0.993333,0.065889,88.222717,0.0961,0.007158
0.989333,0.001444,52.564226,0.092103,0.000948
0.989556,0.002556,52.604927,0.065585,0.000933
0.989222,0.001444,55.991289,0.103218,0.000906
0.990778,0.057,25.692997,0.10013,0.006468
0.992889,0.185556,16.296673,0.0885,0.043113
0.988778,0.005889,51.43693,0.032074,0.010116
0.986,0.001111,61.216423,0.060345,0.000911
0.989333,0.067222,7.350807,0.0247,0.050747
0.985333,0.068,0.0,0.003079,0.049866
0.995,0.082111,67.096847,0.060675,0.01018
0.989333,0.002444,55.991289,0.076266,0.00099
0.974667,0.019778,4.762685,0.02,0.021098
0.971889,0.031111,0.0,0.0175,0.046001
0.984778,0.099667,3.503513,0.001737,0.065679
0.989667,0.0,62.868674,0.099646,0.007061
0.979667,0.021778,0.0,0.0681,0.002114
0.990889,0.015889,81.845773,0.068728,0.001047
0.977444,0.032778,3.352245,0.0342,0.004274
0.989111,0.004667,65.83424,0.064414,0.006148
0.983111,0.040778,1.51067,0.0321,0.005152
0.994778,0.230889,23.052726,0.0336,0.079092
0.985333,0.002222,17.972444,0.0781,0.011851
0.986111,0.075778,4.434625,0.002252,0.0537
0.985,0.001778,15.851492,0.095932,0.001663
0.979889,0.015556,16.949877,0.100838,0.001533
0.993889,0.218556,25.515262,0.0268,0.084536
0.990556,0.060111,55.950588,0.0527,0.018551
0.988667,0.051,37.554081,0.071339,0.007411
0.994778,0.142333,81.212865,0.0873,0.0175
0.987778,0.000889,46.520388,0.054815,0.001033
0.982,0.002111,15.242004,0.0656,0.004363
0.990333,0.012111,90.447002,0.079702,0.001425
0.983111,0.038333,7.657817,0.030233,0.009438
0.994556,0.121333,49.773621,0.0803,0.020157
0.987667,0.001556,57.623836,0.095513,0.009052
0.994111,0.231333,25.247954,0.0583,0.070779
0.993444,0.064444,91.675578,0.0894,0.020091
0.975778,0.002556,7.657817,0.0682,0.002518
0.979889,0.033,0.0,0.0482,0.003934
0.992111,0.035111,83.960546,0.094716,0.0179
0.993111,0.022667,61.216423,0.069029,0.002575
0.989667,0.013222,65.041799,0.090894,0.004292
0.973667,0.002556,0.337725,0.0263,0.002688
0.994333,0.118778,50.073184,0.109759,0.01599
0.982667,0.116,0.0,0.0198,0.052012
0.995222,0.113444,49.559506,0.0556,0.028823
0.988222,0.000111,61.216423,0.123813,0.015498
0.989222,0.135778,0.0,0.002018,0.075552
0.989,0.020222,47.554967,0.027599,0.023502
0.995,0.064333,90.051536,0.0702,0.00892
0.995889,0.229667,46.527189,0.0992,0.029332
