0.990111,0.092556,0.000000,0.018358,0.025401,0.994889,0.046222,7.182600,0.013867,0.011675,0.990778,0.055889,0.000000,0.012700,0.020331
0.993889,0.020333,75.628867,0.061157,0.005211,0.995778,0.012111,7.182600,0.029212,0.000873,0.987111,0.038222,0.000000,0.030300,0.005354
0.988333,0.142556,0.000000,0.028498,0.015375,0.995889,0.039889,1.915360,0.019837,0.002375,0.993444,0.072444,0.000000,0.026000,0.010068
0.989889,0.133667,0.000000,0.015941,0.042261,0.995556,0.055333,0.508337,0.009090,0.008624,0.987111,0.035889,5.048882,0.012964,0.019316
0.989667,0.043556,52.408805,0.057735,0.020457,0.995778,0.022889,0.508337,0.026008,0.003913,0.990889,0.052111,0.000000,0.025600,0.009115
0.994333,0.000000,91.759385,0.049423,0.001234,0.994778,0.001000,85.400539,0.062136,0.004301,0.982222,0.040333,0.000000,0.028100,0.007635
0.995556,0.037111,77.864509,0.050194,0.013833,0.995111,0.023222,7.182600,0.021517,0.003713,0.985000,0.030556,0.000000,0.020600,0.012196
0.989556,0.100667,0.000000,0.053547,0.025490,0.996111,0.024667,0.000000,0.063700,0.000799,0.995111,0.100333,0.000000,0.019300,0.017979
0.989000,0.117222,0.000000,0.029128,0.012016,0.995111,0.048556,0.478840,0.022900,0.001058,0.987556,0.038667,0.000000,0.019200,0.014934
0.989444,0.141111,0.000000,0.030261,0.011078,0.995556,0.042000,0.000000,0.027100,0.000679,0.995778,0.134778,0.000000,0.031900,0.008402
0.992222,0.051889,58.701184,0.072728,0.009385,0.996667,0.022222,0.478840,0.030108,0.005820,0.991444,0.054111,0.000000,0.034800,0.003270
0.991222,0.045222,46.658936,0.103495,0.006238,0.996111,0.020111,0.092383,0.065800,0.004056,0.990222,0.046556,0.000000,0.039600,0.001400
0.989444,0.167333,0.000000,0.024701,0.036374,0.995667,0.042333,0.000000,0.017600,0.002560,0.989667,0.047222,0.000000,0.024800,0.009540
0.993889,0.002444,99.466324,0.052393,0.001252,0.995444,0.001778,84.892203,0.062034,0.005689,0.989111,0.004111,152.538618,0.084496,0.003118
0.989333,0.077667,0.000000,0.260259,0.003334,0.996333,0.017000,0.000000,0.086100,0.135770,0.992444,0.055111,0.000000,0.012200,0.018143
0.989778,0.115556,0.000000,0.028674,0.030373,0.995333,0.034333,0.508337,0.013308,0.005162,0.993556,0.072111,0.000000,0.019400,0.016887
0.991556,0.036222,58.368150,0.053340,0.018522,0.995667,0.019111,0.508337,0.026708,0.000896,0.988889,0.042000,0.000000,0.025900,0.008310
0.989889,0.052111,29.302805,0.039455,0.006606,0.994889,0.019333,7.182600,0.022217,0.003327,0.987222,0.039222,0.000000,0.027800,0.007275
0.989667,0.115222,0.000000,0.035961,0.008802,0.995444,0.029222,0.478840,0.030500,0.000645,0.988778,0.042222,0.000000,0.034200,0.003212
0.991333,0.029889,43.171065,0.047061,0.017622,0.994667,0.015222,22.984320,0.031259,0.010002,0.985444,0.033333,5.593572,0.023230,0.013717
0.988778,0.097667,0.000000,0.035977,0.012262,0.995667,0.028222,0.000000,0.031200,0.000660,0.983333,0.024889,0.000000,0.034700,0.002016
0.988778,0.097667,0.000000,0.031919,0.030835,0.995667,0.028222,0.000000,0.030900,0.000669,0.983000,0.024778,0.000000,0.034700,0.002148
0.994556,0.021444,74.382179,0.079334,0.000365,0.996111,0.016556,1.915360,0.034332,0.001163,0.987222,0.036000,5.801596,0.036271,0.003147
