Watertown,Dryville,Fallsland,Regional
0.815,0.91,0.69,0.69
0.765,0.645,0.6,0.6
0.54,0.37,0.37,0.365
0.725,0.545,0.53,0.53
0.71,0.755,0.71,0.67
0.54,0.37,0.37,0.365
0.76,0.905,0.72,0.71
0.7,0.6,0.565,0.565
0.52,0.6,0.42,0.42
0.81,0.93,0.645,0.645
0.695,0.525,0.52,0.485
0.815,0.905,0.735,0.735
0.81,0.91,0.73,0.73
0.8,0.905,0.705,0.7
0.655,0.705,0.66,0.63
0.815,0.905,0.73,0.73
0.825,0.755,0.7,0.7
0.61,0.565,0.565,0.56
0.825,0.91,0.54,0.54
0.66,0.775,0.675,0.635
0.67,0.595,0.58,0.58
0.665,0.825,0.695,0.645
0.715,0.685,0.645,0.63
0.82,0.925,0.52,0.52
0.61,0.565,0.545,0.545
0.685,0.91,0.715,0.655
0.65,0.925,0.595,0.595
0.78,0.905,0.745,0.74
0.8,0.955,0.75,0.745
0.63,0.69,0.58,0.58
0.68,0.645,0.6,0.6
0.725,0.37,0.53,0.37
0.675,0.935,0.73,0.65
0.66,0.805,0.68,0.635
0.82,0.93,0.735,0.735
0.6,0.6,0.565,0.555
0.75,0.92,0.715,0.7
0.61,0.565,0.58,0.565
0.69,0.605,0.545,0.545
0.675,0.685,0.645,0.63
0.815,0.91,0.74,0.74
0.65,0.57,0.53,0.53
0.69,0.75,0.675,0.645
0.735,0.705,0.685,0.66
0.66,0.7,0.66,0.63
0.79,0.905,0.75,0.745
0.815,0.91,0.705,0.705
0.68,0.565,0.565,0.56
0.81,0.93,0.71,0.705
0.745,0.935,0.735,0.715
0.74,0.705,0.615,0.61
0.74,0.945,0.71,0.69
0.625,0.535,0.53,0.53
0.81,0.685,0.655,0.655
0.645,0.595,0.565,0.565
0.635,0.545,0.42,0.42
0.53,0.595,0.6,0.53
0.685,0.6,0.6,0.6
0.7,0.675,0.49,0.49
0.6,0.595,0.6,0.58
0.725,0.905,0.715,0.685
0.765,0.53,0.49,0.475
0.825,0.775,0.68,0.68
0.805,0.895,0.735,0.73
0.81,0.9,0.735,0.735
0.825,0.91,0.54,0.54
0.815,0.9,0.74,0.74
0.695,0.75,0.69,0.655
0.81,0.94,0.75,0.745
0.685,0.6,0.53,0.53
