REL_W,RF_W,INPC_W,PFC_W,WCC_W,REL_D,RF_D,INPC_D,PFC_D,WCC_D,REL_F,RF_F,INPC_F,PFC_F,WCC_F,REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.25,0.0740733333333334,0.0,0.3129190433303311,0.0,0.2222222222222222,0.1249985937517579,0.0,0.0,0.0187186550822913,0.6666666666666666,0.2631577700830368,0.0,0.0,0.0513996588971007,0.2222222222222222,0.0740733333333334,0.0,0.3129190433303311,0.0513996588971007
0.0,0.1999981999982,0.0,0.010157,0.0,0.4545454545454525,0.2499971875035156,0.0,0.0,0.0323471065896965,0.125,0.1666729166822916,0.0,0.0,0.033112622814724,0.4545454545454525,0.2499971875035156,0.0,1.0,0.033112622814724
0.0,0.5000225002250024,0.0,0.3519293546497029,3.829314680319876e-05,0.0555555555555556,0.0,0.0,0.0,0.2154822431324935,0.0,0.022222,0.0,0.0,0.3967002398081536,0.0555555555555556,0.0,0.0,0.2804931224481706,0.381146607983002
0.1111111111111111,0.0,1.0,0.253055473153367,0.0036625971143173,0.3999999999999978,0.0,0.1615105322350314,0.1647235749069036,0.9190138754181428,0.2727272727272707,0.0,1.0,1.0,0.9293707787619344,0.2727272727272707,0.0,0.8810312363586424,0.2099828129475796,0.5371888377992705
0.6,0.4999943750070313,0.2807840864369867,0.1260641886465125,0.2038157688216111,0.4,0.0,0.118620376301748,0.0496476280635321,0.6935520619731148,0.1666666666666666,0.4666684666684668,1.0,0.1178108049986857,0.3711030954396555,0.3333333333333333,0.4666684666684668,0.2807840864369867,0.1060586935941936,0.2992971870040633
0.1428571428571428,1.0,0.5921979391363965,0.317217710557296,0.0,0.5714285714285714,0.0,0.1419383432203445,0.070312059668965,0.0,0.4285714285714285,1.0,0.1582331641152427,0.0699568535723937,0.3187666831833513,0.5714285714285714,1.0,0.4507054103485514,0.2303721029922933,0.3187666831833513
0.0,0.0,0.0,0.1364561082290713,0.0,0.1666666666666648,0.0,0.4667562290369243,0.2594300849392638,0.0481132682153039,0.1818181818181798,0.5000225002250024,0.0,0.0,1.0,0.1666666666666648,0.5000225002250024,0.4667562290369243,0.1364561082290713,1.0
0.3333333333333333,0.0,0.0544809065086771,0.0358598138676951,0.010516,0.4285714285714285,0.0,0.1116639897152691,0.0695461542049536,0.101109,0.4285714285714285,0.5000225002250024,0.192937656775447,0.0569916988191278,0.2230561922272874,0.4285714285714285,0.5000225002250024,0.0544809065086771,0.0569916988191278,1.0
0.0,0.0,1.0,0.3296266080953876,0.1233799747677486,0.5454545454545434,0.0,0.140320613773552,0.1001682528673628,1.0,0.0909090909090909,0.5000225002250024,0.0,0.0,1.0,0.5454545454545434,0.5000225002250024,0.9309988709198184,0.3296266080953876,1.0
0.1428571428571428,0.4736844598339264,0.0,0.1537726331439494,0.0897735668651398,0.2222222222222222,0.1111099999999999,0.0,0.0,0.0263577493557272,0.0,0.1666729166822916,0.0,0.0,0.1440211947481323,0.2222222222222222,0.4736844598339264,0.0,0.1537726331439494,0.1440211947481323
0.0,0.0,0.0,0.233834346018548,0.0385555481149132,0.0666666666666667,0.0,0.0,0.0,0.0016330443684343,0.1,0.0,0.0,0.0,0.0478092511844133,0.0666666666666667,0.0,0.0,0.233834346018548,0.0080189790629087
0.0,0.0,0.0,0.1487958003759799,0.0,0.266666666666667,0.0,0.1307038928418031,0.0607546836337929,0.0003598934715323,0.0,0.022222,0.0,0.0,0.0030000291264963,0.266666666666667,0.022222,0.1307038928418031,0.0607546836337929,0.0003598934715323
0.4,0.9999935714469388,0.2295933676945718,0.137842042646655,0.1432974173973291,0.4,0.0,0.0928676516459544,0.0397453253236314,1.0,0.4,0.4285659183830903,0.18589487086351,0.0690603664227124,0.3285305776440529,0.4,0.9999935714469388,0.18589487086351,0.137842042646655,0.3285305776440529
0.125,1.0,1.0,0.2814844466252598,0.2520451988955926,0.8749999999999972,0.0,0.1923648491075298,0.1349445364653917,1.0,0.2222222222222222,0.6666566667166663,1.0,0.0,0.1402847276058918,0.6666666666666642,0.6666566667166663,0.9309988709198184,0.2453194799979922,1.0
0.0,0.6000036000035999,1.0,0.6874450922450284,0.0,0.5714285714285714,0.3000018000018,0.0,0.0,0.0161395950958954,0.1666666666666666,0.3000018000018,0.0,0.0,0.0200619536482913,0.375,0.3000018000018,1.0,0.6874450922450284,0.0161395950958954
0.1,0.0,0.0,0.1722491752377254,0.0530647963777948,0.1538461538461541,0.0,0.0,0.0,0.0026646283851927,0.0,0.0,0.0,0.0,0.0060629327120371,0.1538461538461541,0.0,0.0,0.1722491752377254,0.0026646283851927
1.0,0.2857133673475947,1.0,0.5678842618495724,0.0,1.0,0.1052645290865942,0.140320613773552,0.1674091899450424,0.3547904293692083,1.0,0.0909081611572359,1.0,0.0,0.2028823282496152,1.0,0.2272724483471707,0.9256478957082872,0.4145669575250596,0.3238288459360237
0.1111111111111111,0.022222,1.0,0.2497712194005949,0.0,0.8999999999999978,0.022222,0.1335667335797267,0.1039852304558187,0.122611,0.3636363636363616,0.0,1.0,0.5699106922235169,0.05814535250484,0.7272727272727253,0.022222,0.8925285211950238,0.5262182566918328,1.0
0.0,0.0,0.0,0.1166943062465451,0.0119034307496822,0.2727272727272707,0.2857106122553936,0.0,0.0,0.0136480463285291,0.25,0.0,0.0,0.0,0.1817705293926263,0.2727272727272707,0.2857106122553936,0.0,0.1166943062465451,0.0635599719277372
0.0,0.0,0.0,0.2596244510897384,0.0,0.1333333333333335,0.0,0.4667562290369243,0.2888742493728936,0.0,0.1538461538461541,0.0,0.0,0.0,0.0497230264810481,0.1333333333333335,0.0,0.4667562290369243,0.2888742493728936,0.0
0.0,0.0,1.0,0.3714259190493872,0.0,0.6363636363636344,0.0,0.0779846839436936,0.0677652769586716,0.13007,0.3636363636363616,0.022222,1.0,0.0842960945820246,1.0,0.6363636363636344,0.022222,1.0,0.3403801660391053,1.0
1.0,0.4999943750070313,0.1590596840482744,0.1032226727069063,0.1408015940419415,0.75,0.0,0.0631757596799393,0.0235018244145574,0.032055,0.1666666666666666,0.3571426275509382,0.5213418450588031,0.4186155095412099,0.1007472207034809,0.3333333333333333,0.3571426275509382,0.1590596840482744,0.3854419651265378,0.1007472207034809
0.1111111111111111,0.0,1.0,0.2849190476797065,0.0133632300492091,0.3999999999999978,0.0,0.1378596380115486,0.1483071798475029,0.182405,0.3636363636363616,0.0,0.0,0.0,0.0014086126602656,0.3636363636363616,0.0,0.8998632075352243,0.2849190476797065,1.0
0.2,0.0,0.0,0.0756135386946691,0.1373822987017746,0.2727272727272707,0.0,0.0,0.0,0.0022091725747004,0.0,0.0,0.0,0.0,0.0595408145490019,0.2727272727272707,0.0,0.0,0.0648476964007361,0.0496951116421141
0.4,0.0,1.0,0.2608430341719865,0.0032547407667742,0.5,0.3333383333458332,0.1378596380115486,0.1540376555951709,0.9289559725892418,0.3333333333333333,0.2142868622453078,0.0946470502294806,0.3595861341164055,0.0903962448270213,0.3333333333333333,0.2142868622453078,0.0946470502294806,0.3595861341164055,0.5338300342609675
0.0,0.0,0.0,0.0741948634325316,0.0,0.3999999999999978,0.022222,0.1720495800508354,0.1710297686574664,1.0,0.1538461538461541,0.022222,0.3055614895894239,1.0,0.2923310850325549,0.1538461538461541,0.022222,0.2624968640168151,0.1710297686574664,1.0
0.125,0.0,0.0,0.1391457437865787,0.0040964594324714,0.6666666666666642,0.0,0.1064305043606488,0.0782183751558492,0.0016707911038254,0.2222222222222222,0.6666566667166663,0.331967262108991,0.7669631306597673,0.2206303027352071,0.6666666666666642,0.6666566667166663,0.331967262108991,0.5659295776666334,0.0040964594324714
0.1666666666666666,0.0,1.0,0.2802050549057873,0.0272015194570002,0.4285714285714285,0.022222,0.1419383432203445,0.1055087254376813,0.1157118268994345,0.125,0.1249985937517579,0.0,0.0,0.0,0.25,0.1249985937517579,1.0,0.2802050549057873,0.1157118268994345
0.0909090909090909,0.0,0.0,0.0848893818943736,0.0007562835902551,0.4999999999999978,0.0,0.1116639897152691,0.1525751922207146,1.0,0.142857142857143,0.022222,0.2020637907881275,1.0,0.0018944952904446,0.142857142857143,0.022222,0.1116639897152691,0.1582287426503846,1.0
0.6666666666666666,0.079999136000691,0.971036660293907,0.6041206086164936,0.0586702859276936,0.6666666666666666,0.0,0.1615105322350314,0.1691915255438247,0.2382623417599752,1.0,0.0909081611572359,1.0,0.0,0.12370245797745,1.0,0.079999136000691,0.7451107516036495,0.0,0.2382623417599752
